Date;Open;High;Low;Close*;Adj Close**;Volume
Sep 15, 2021;75.46;75.86;74.48;75.67;75.67;27,363
Sep 14, 2021;73.84;76.13;73.78;75.46;75.46;35,197
Sep 13, 2021;73.73;74.27;73.08;73.60;73.60;27,69
Sep 12, 2021;73.05;73.93;72.70;73.51;73.51;26,51
Sep 09, 2021;71.31;73.14;70.96;72.92;72.92;26,654
Sep 08, 2021;72.62;73.19;70.89;71.45;71.45;35,106
Sep 07, 2021;71.58;72.95;71.56;72.60;72.60;31,671
Sep 06, 2021;72.69;72.77;71.10;71.69;71.69;35,294
Sep 02, 2021;72.81;73.70;72.40;72.61;72.61;27,095
Sep 01, 2021;71.24;73.46;70.92;73.03;73.03;30,185
Aug 31, 2021;71.70;72.37;70.41;71.59;71.59;32,339
Aug 30, 2021;73.03;73.49;72.91;72.99;72.99;28,933
Aug 29, 2021;73.59;73.70;71.99;73.41;73.41;3,291
Aug 26, 2021;71.42;72.74;71.16;72.70;72.70;13,316
Aug 25, 2021;71.84;72.13;70.68;71.07;71.07;24,373
Aug 24, 2021;71.13;72.41;70.51;72.25;72.25;32,345
Aug 23, 2021;68.68;71.30;68.52;71.05;71.05;38,685
Aug 22, 2021;65.18;68.91;64.83;68.75;68.75;29,582
Aug 19, 2021;66.60;66.92;64.80;65.18;65.18;27,104
Aug 18, 2021;67.42;67.65;65.56;66.45;66.45;35,816
Aug 17, 2021;69.01;70.04;67.22;68.23;68.23;34,264
Aug 16, 2021;69.65;70.01;68.82;69.03;69.03;29,163
Aug 15, 2021;70.22;70.40;68.14;69.51;69.51;33,537
Aug 12, 2021;71.12;71.39;70.00;70.59;70.59;26,874
Aug 11, 2021;71.58;71.89;70.68;71.31;71.31;22,952
Aug 10, 2021;70.91;71.63;69.07;71.44;71.44;34,214
Aug 09, 2021;69.29;71.23;68.97;70.63;70.63;30,525
Aug 08, 2021;70.06;70.06;67.61;69.04;69.04;42,738
Aug 05, 2021;71.26;72.43;70.28;70.70;70.70;35,762
Aug 04, 2021;70.25;71.50;69.75;71.29;71.29;32,444
Aug 03, 2021;72.33;72.82;70.12;70.38;70.38;44,616
Aug 02, 2021;73.23;73.53;71.04;72.41;72.41;41,458
Aug 01, 2021;75.18;75.33;72.31;72.89;72.89;38,106
Jul 29, 2021;75.80;76.39;75.51;76.33;76.33;27,919
Jul 28, 2021;74.81;76.14;74.63;76.05;76.05;9,158
Jul 27, 2021;74.66;75.31;74.44;74.74;74.74;20,863
Jul 26, 2021;74.79;75.05;74.02;74.48;74.48;26,028
Jul 25, 2021;74.17;74.83;72.75;74.50;74.50;31,628
Jul 22, 2021;73.71;74.21;73.33;74.10;74.10;23,724
Jul 21, 2021;72.10;73.90;71.75;73.79;73.79;34,425
Jul 20, 2021;68.74;72.36;68.64;72.23;72.23;43,341
Jul 19, 2021;68.76;69.73;67.42;69.35;69.35;43,067
Jul 18, 2021;73.00;73.29;67.85;68.62;68.62;58,659
Jul 15, 2021;73.26;74.07;72.34;73.59;73.59;33,536
Jul 14, 2021;74.55;74.64;73.16;73.47;73.47;41,748
Jul 13, 2021;76.40;76.71;73.76;74.76;74.76;49,772
Jul 12, 2021;75.23;76.61;74.96;76.49;76.49;32,219
Jul 11, 2021;75.64;75.84;74.24;75.16;75.16;32,255
Jul 08, 2021;74.36;75.79;73.82;75.55;75.55;31,967
Jul 07, 2021;73.47;74.39;72.10;74.12;74.12;42,366
Jul 06, 2021;74.96;75.99;72.59;73.43;73.43;51,166
Jul 05, 2021;76.09;77.83;74.12;74.53;74.53;58,679
Jul 01, 2021;75.59;76.43;75.23;76.17;76.17;31,167
Jun 30, 2021;74.70;76.75;74.55;75.84;75.84;52,21
Jun 29, 2021;75.14;75.60;74.54;75.13;75.13;33,596
Jun 28, 2021;74.60;75.51;73.91;74.76;74.76;4,089
Jun 27, 2021;76.16;76.59;74.52;74.68;74.68;27,711
Jun 24, 2021;75.61;76.21;74.95;76.18;76.18;31,417
Jun 23, 2021;75.37;75.77;74.52;75.56;75.56;26,664
Jun 22, 2021;74.76;76.00;74.73;75.19;75.19;32,883
Jun 21, 2021;74.81;75.29;74.34;74.81;74.81;39,381
Jun 20, 2021;73.33;74.95;72.98;74.90;74.90;38,734
Jun 17, 2021;73.07;73.75;72.18;73.51;73.51;26,417
Jun 16, 2021;73.98;74.49;72.00;73.08;73.08;42,085
Jun 15, 2021;74.30;74.96;73.89;74.39;74.39;42,294
Jun 14, 2021;73.10;74.33;72.78;73.99;73.99;32,191
Jun 13, 2021;72.49;73.64;72.49;72.86;72.86;25,816
Jun 10, 2021;72.39;73.08;71.88;72.69;72.69;36,538
Jun 09, 2021;72.09;72.92;70.95;72.52;72.52;37,08
Jun 08, 2021;72.14;72.88;71.82;72.22;72.22;31,013
Jun 07, 2021;71.39;72.41;70.72;72.22;72.22;29,742
Jun 06, 2021;71.70;72.26;71.10;71.49;71.49;21,019
Jun 03, 2021;71.35;72.17;70.76;71.89;71.89;24,006
Jun 02, 2021;71.27;71.98;70.66;71.31;71.31;25,178
Jun 01, 2021;70.56;71.49;70.37;71.35;71.35;22,202
May 31, 2021;69.63;69.63;69.63;69.63;69.63;39,925
May 27, 2021;69.62;69.83;69.42;69.63;69.63;861
May 26, 2021;68.88;69.51;68.11;69.46;69.46;6,546
May 25, 2021;68.63;69.16;68.03;68.87;68.87;21,097
May 24, 2021;68.39;68.89;67.84;68.65;68.65;20,377
May 23, 2021;66.64;68.64;66.47;68.46;68.46;29,4
May 20, 2021;65.04;66.94;64.56;66.44;66.44;33,829
May 19, 2021;66.73;67.15;64.79;65.11;65.11;35,448
May 18, 2021;68.58;68.60;65.29;66.66;66.66;42,607
May 17, 2021;69.53;70.24;67.28;68.71;68.71;43,138
May 16, 2021;68.86;69.63;68.20;69.46;69.46;26,662
May 13, 2021;67.01;68.86;66.50;68.71;68.71;31,042
May 12, 2021;69.02;69.02;66.47;67.05;67.05;38,726
May 11, 2021;68.72;69.90;68.19;69.32;69.32;31,702
May 10, 2021;68.24;68.75;67.13;68.55;68.55;40,504
